Name,Protein,Fat,Link
Apple Cinnamon Oatmeal,8g,4g,https://www.allrecipes.com/recipe/79828/apple-cinnamon-oatmeal/
Blended Baked Oats,10g,6g,https://www.allrecipes.com/recipe/283660/blended-baked-oats/
Quinoa Porridge,4g,3g,https://www.allrecipes.com/recipe/162501/quinoa-porridge/
Bircher Muesli (Swiss Oatmeal),12g,6g,https://www.allrecipes.com/recipe/228025/bircher-muesli-swiss-oatmeal/
12 Ways To Make Easy Overnight Oats,NA,NA,https://www.allrecipes.com/gallery/easy-overnight-oats/
Vegan Chocolate Blended Baked Oats,9g,11g,https://www.allrecipes.com/recipe/283690/vegan-chocolate-blended-baked-oats/
Dominican-Style Oatmeal,9g,5g,https://www.allrecipes.com/recipe/202760/dominican-style-oatmeal/
Butterscotch Oatmeal,11g,14g,https://www.allrecipes.com/recipe/83853/butterscotch-oatmeal/
Steel-Cut Oatmeal,11g,12g,https://www.allrecipes.com/recipe/221236/steel-cut-oatmeal/
Homemade Granola,8g,16g,https://www.allrecipes.com/recipe/232085/homemade-granola/
Simple Savory Oatmeal,9g,8g,https://www.allrecipes.com/recipe/246246/simple-savory-oatmeal/
Pumpkin Oatmeal,9g,5g,https://www.allrecipes.com/recipe/55259/pumpkin-oatmeal/
Grandma's Homemade Granola,5g,20g,https://www.allrecipes.com/recipe/275749/grandmas-homemade-granola/
Overnight Slow Cooker Oatmeal,8g,4g,https://www.allrecipes.com/recipe/241549/overnight-slow-cooker-oatmeal/
Blueberry Chia Pudding,3g,7g,https://www.allrecipes.com/recipe/263457/blueberry-chia-pudding-with-almond-milk/
Reduced-Calorie Chocolate Banana Oatmeal,7g,3g,https://www.allrecipes.com/recipe/278523/reduced-calorie-chocolate-banana-oatmeal/
Our 40 Favorite Ways to Use Oats,NA,NA,https://www.allrecipes.com/gallery/how-to-use-oats/
Brown Rice Breakfast Porridge,10g,12g,https://www.allrecipes.com/recipe/96787/brown-rice-breakfast-porridge/
Sweet Banana Almond Oatmeal,8g,6g,https://www.allrecipes.com/recipe/235056/sweet-banana-almond-oatmeal/
Almond Milk Overnight Chia Oats,5g,7g,https://www.allrecipes.com/recipe/269991/almond-milk-overnight-chia-oats/
Chef John's Chocolate Granola,3g,6g,https://www.allrecipes.com/recipe/264951/chef-johns-chocolate-granola/
Chocolate Coconut Overnight Oats,13g,12g,https://www.allrecipes.com/recipe/244939/chocolate-coconut-overnight-oats/
Blended Baked Oats 5 Ways,13g,15g,https://www.allrecipes.com/recipe/283656/blended-baked-oats-5-ways/
Egg-Free and Milk-Free Baked Oatmeal,7g,4g,https://www.allrecipes.com/recipe/244176/egg-free-and-milk-free-baked-oatmeal/
Amish Baked Oatmeal,7g,18g,https://www.allrecipes.com/recipe/276024/amish-baked-oatmeal/
Instant Pot Oatmeal,6g,3g,https://www.allrecipes.com/recipe/285239/instant-pot-oatmeal/
Overnight Steel-Cut Oats with Yogurt and Blueberries,16g,37g,https://www.allrecipes.com/recipe/273442/overnight-steel-cut-oats-with-yogurt-and-blueberries/
Crispy Baked Oatmeal,7g,23g,https://www.allrecipes.com/recipe/244222/crispy-baked-oatmeal/
Overnight Oats with Jam,10g,15g,https://www.allrecipes.com/recipe/269988/overnight-oats-with-jam/
Overnight Oats Blueberry Smoothie Bowl,8g,7g,https://www.allrecipes.com/recipe/246455/overnight-oats-blueberry-smoothie-bowl/
"Raw Chia ""Porridge""",8g,13g,https://www.allrecipes.com/recipe/246520/raw-chia-porridge/
Blueberry Oatmeal,7g,6g,https://www.allrecipes.com/recipe/238143/blueberry-oatmeal/
Slow Cooker Steel-Cut Oats,7g,3g,https://www.allrecipes.com/recipe/273444/slow-cooker-steel-cut-oats/
Chef John's Granola,8g,16g,https://www.allrecipes.com/recipe/229448/chef-johns-granola/
Homemade Granola Cereal,8g,11g,https://www.allrecipes.com/recipe/232084/homemade-granola-cereal/
