Name,Protein,Fat,Link
17 Breakfast Recipes to Make in Your 9x13 Baking Dish,NA,NA,https://www.allrecipes.com/9x13-breakfast-recipes-8709277
Smoked Salmon Breakfast Casserole,23g,20g,https://www.allrecipes.com/smoked-salmon-breakfast-casserole-recipe-8690566
Chilaquiles Breakfast Casserole,23g,37g,https://www.allrecipes.com/chilaquiles-breakfast-casserole-recipe-8684756
Easy McGriddle Casserole,24g,30g,https://www.allrecipes.com/easy-mcgriddle-casserole-recipe-8623338
Chicken and Waffles Casserole,30g,43g,https://www.allrecipes.com/chicken-and-waffles-casserole-recipe-8584860
Pancake Casserole,12g,16g,https://www.allrecipes.com/recipe/236012/pancake-casserole/
20 Top-Rated Breakfast Casseroles for Your 9x13 Dish,NA,NA,https://www.allrecipes.com/9x13-breakfast-casseroles-8412350
Meet the Everything Bagel Casserole: The Ultimate Breakfast Comfort Food,NA,NA,https://www.allrecipes.com/everything-bagel-casserole-recipe-7975027
Bagel and Cheese Bake,17g,14g,https://www.allrecipes.com/recipe/38553/bagel-and-cheese-bake/
Peanut Butter and Jelly French Toast Casserole,12g,20g,https://www.allrecipes.com/peanut-butter-and-jelly-french-toast-casserole-recipe-7371603
Ham and Cheese Croissant Casserole,20g,26g,https://www.allrecipes.com/recipe/8534313/ham-and-cheese-croissant-casserole/
"Overnight Breakfast Bake with Ham, Cheese, and Croissants",17g,21g,https://www.allrecipes.com/recipe/8532980/overnight-breakfast-bake-with-ham-cheese-and-croissants/
Super Easy Egg Casserole,23g,23g,https://www.allrecipes.com/recipe/241925/super-easy-egg-casserole/
Leftover Ham -n- Potato Casserole,25g,37g,https://www.allrecipes.com/recipe/220961/leftover-ham-n-potato-casserole/
Baked French Toast,11g,20g,https://www.allrecipes.com/recipe/20934/baked-french-toast/
Overnight Christmas Breakfast Casserole,34g,41g,https://www.allrecipes.com/recipe/230444/christmas-morning-wife-saver-breakfast-casserole/
Sausage Gravy Casserole,5g,6g,https://www.allrecipes.com/recipe/282292/sausage-gravy-casserole/
Best Breakfast Casserole (Hash Browns & Eggs),34g,49g,https://www.allrecipes.com/recipe/87013/hash-brown-and-egg-casserole/
Overnight Blueberry French Toast,15g,25g,https://www.allrecipes.com/recipe/15057/overnight-blueberry-french-toast/
Restaurant-Style Hashbrown Casserole,17g,48g,https://www.allrecipes.com/recipe/13755/restaurant-style-hashbrown-casserole/
Breakfast Sausage Casserole,24g,29g,https://www.allrecipes.com/recipe/9247/christmas-breakfast-sausage-casserole/
Tater Tot Breakfast Casserole,20g,29g,https://www.allrecipes.com/recipe/279858/tater-tot-breakfast-casserole/
Sausage Casserole,22g,26g,https://www.allrecipes.com/recipe/24532/sausage-casserole/
Cheesy Ham and Hash Brown Casserole,14g,27g,https://www.allrecipes.com/recipe/20096/cheesy-ham-and-hash-brown-casserole/
Jimmy Dean Breakfast Casserole,NA,NA,https://www.allrecipes.com/recipe/84065/jimmy-dean-breakfast-casserole/
French Toast Casserole,9g,7g,https://www.allrecipes.com/recipe/22389/french-toast-casserole/
Southern Grits Casserole,17g,30g,https://www.allrecipes.com/recipe/46968/southern-grits-casserole/
Sausage and Egg Casserole,22g,24g,https://www.allrecipes.com/recipe/222595/sausage-and-egg-casserole/
Eggs Benedict Casserole,18g,14g,https://www.allrecipes.com/recipe/221988/eggs-benedict-casserole/
Christmas Brunch Casserole,14g,33g,https://www.allrecipes.com/recipe/15047/christmas-brunch-casserole/
Farmer's Casserole,18g,22g,https://www.allrecipes.com/recipe/22454/farmers-casserole/
Breakfast Casserole,25g,32g,https://www.allrecipes.com/recipe/172671/breakfast-sausage-casserole/
"Cheesy Bacon, Sausage, and Egg Hash Brown Skillet",18g,24g,https://www.allrecipes.com/recipe/261541/cheesy-bacon-sausage-egg-hash-brown-skillet/
Fast and Fabulous Egg and Cottage Cheese Casserole,19g,19g,https://www.allrecipes.com/recipe/241166/fast-and-fabulous-egg-and-cottage-cheese-casserole/
Wake-Up Casserole,32g,40g,https://www.allrecipes.com/recipe/239848/wake-up-casserole/
Amazing Muffin Cups,11g,18g,https://www.allrecipes.com/recipe/231510/amazing-muffin-cups/
Sausage Hashbrown Breakfast Casserole,27g,38g,https://www.allrecipes.com/recipe/260163/sausage-hashbrown-breakfast-casserole/
Christmas Morning Egg Casserole,22g,24g,https://www.allrecipes.com/recipe/229517/christmas-morning-egg-casserole/
Sausage Egg Muffins,9g,13g,https://www.allrecipes.com/recipe/21602/sausage-egg-muffins/
Egg and Sausage Casserole,20g,25g,https://www.allrecipes.com/recipe/20916/egg-and-sausage-casserole/
Sausage Hash Brown Breakfast Casserole,31g,45g,https://www.allrecipes.com/recipe/241105/sausage-hash-brown-breakfast-casserole/
Breakfast Strata,34g,37g,https://www.allrecipes.com/recipe/229312/breakfast-strata/
Easter Breakfast Casserole,18g,21g,https://www.allrecipes.com/recipe/20900/easter-breakfast-casserole/
Overnight French Toast Casserole,23g,47g,https://www.allrecipes.com/recipe/275838/overnight-french-toast-casserole/
Green Chile Casserole,9g,10g,https://www.allrecipes.com/recipe/45582/green-chili-casserole/
Overnight Eggnog French Toast,21g,30g,https://www.allrecipes.com/recipe/217954/overnight-eggnog-french-toast/
Chilaquiles,10g,11g,https://www.allrecipes.com/recipe/45729/chilaquiles-ii/
Sausage Breakfast Casserole,22g,30g,https://www.allrecipes.com/recipe/230966/country-sunday-breakfast-casserole/
Christmas Green Chile Egg Casserole,30g,38g,https://www.allrecipes.com/recipe/229987/christmas-green-chile-egg-casserole/
Fluffy Egg Strata,33g,39g,https://www.allrecipes.com/recipe/132372/bacon-egg-and-cheese-strata/
Tater Tot and Bacon Breakfast Casserole,27g,36g,https://www.allrecipes.com/recipe/242266/tater-tot-and-bacon-breakfast-casserole/
Egg White Breakfast Casserole,23g,10g,https://www.allrecipes.com/recipe/277804/egg-white-breakfast-casserole/
Rebekah's Keto Egg Casserole,21g,31g,https://www.allrecipes.com/recipe/260377/rebekahs-keto-egg-casserole/
